mean,std,min,max,missing_ratio,negative_ratio,flatline_ratio,saturation_ratio,spike_ratio,physiological_ratio,record,window,start_min,end_min,status,failure_reason
86.78530079761505,15.827522352208621,65.66933645569935,123.37913080305427,0.0,0.0,0.0018,0.0,0.0,1.0,charis7,6,25.0,30.0,PASS,All criteria met
86.6590708469833,16.167638510797417,65.53231773395946,125.02335546393293,0.0,0.0,0.0017333333333333333,0.0,0.0,1.0,charis7,7,30.0,35.0,PASS,All criteria met
86.64053013789064,16.394708460267744,65.25828029047969,126.00739901097394,0.0,0.0,0.0021333333333333334,0.0,0.0,1.0,charis7,8,35.0,40.0,PASS,All criteria met
87.12109299419122,16.583332746051223,64.72266165095103,126.5056489082099,0.0,0.0,0.0024666666666666665,0.0,0.0,1.0,charis7,9,40.0,45.0,PASS,All criteria met
87.35533521837878,16.563885921664365,64.84722412526001,128.62321097146273,0.0,0.0,0.003,0.0,0.0,1.0,charis7,10,45.0,50.0,PASS,All criteria met
100.13925053588027,17.661155202688743,54.318599827373504,134.00018979876813,0.0,0.0,0.0009333333333333333,0.0,0.0,1.0,charis8,1,0.0,5.0,PASS,All criteria met
106.48355378610886,12.86531329408184,85.23998246620904,134.6328523591535,0.0,0.0,0.0006666666666666666,0.0,0.0,1.0,charis8,2,5.0,10.0,PASS,All criteria met
107.1558082188892,12.910963628889707,84.76548554592001,134.802315544971,0.0,0.0,0.00046666666666666666,0.0,0.0,1.0,charis8,3,10.0,15.0,PASS,All criteria met
110.872638248067,12.571166804123953,84.39266653712149,138.44012526718697,0.0,0.0,0.0005333333333333334,0.0,0.0,1.0,charis8,4,15.0,20.0,PASS,All criteria met
108.96392392383345,21.82883020409524,62.159096557863776,318.50040897115514,0.0,0.0,0.0024666666666666665,0.004866666666666667,0.0008667244482965531,0.9946,charis8,5,20.0,25.0,PASS,All criteria met
107.68455068154329,16.860347093410905,81.87331384130113,147.98655140157354,0.0,0.0,0.0017333333333333333,0.0,0.0,1.0,charis8,6,25.0,30.0,PASS,All criteria met
106.88949117360411,17.516271403206616,77.93047038461366,147.94136121868885,0.0,0.0,0.0011333333333333334,0.0,0.0,1.0,charis8,7,30.0,35.0,PASS,All criteria met
105.63662799893353,18.007130067053883,75.60317596605314,148.9694378793151,0.0,0.0,0.0006,0.0,0.0,1.0,charis8,8,35.0,40.0,PASS,All criteria met
105.45715970662535,18.499925702947912,77.3542955528341,147.6589225756597,0.0,0.0,0.0002666666666666667,0.0,0.0,1.0,charis8,9,40.0,45.0,PASS,All criteria met
106.51448495995396,18.19497243985223,78.04344584182533,147.62502993849617,0.0,0.0,0.0004,0.0,0.0,1.0,charis8,10,45.0,50.0,PASS,All criteria met
80.83306924748129,11.886996788893747,63.3310496824156,116.60247253734265,0.0,0.0,0.005933333333333333,0.0,0.0,1.0,charis9,1,0.0,5.0,PASS,All criteria met
79.81890193969924,11.726371311616884,61.34885720409273,115.5989875951917,0.0,0.0,0.0048,0.0,0.0,1.0,charis9,2,5.0,10.0,PASS,All criteria met
78.48734432046106,11.374385519467282,60.816142975543464,110.30901141866755,0.0,0.0,0.0042,0.0,0.0,1.0,charis9,3,10.0,15.0,PASS,All criteria met
78.4065344626875,11.395749484468467,58.94544882412626,112.2788151940009,0.0,0.0,0.0052,0.0,0.0,1.0,charis9,4,15.0,20.0,PASS,All criteria met
78.15936827525717,11.327991360178958,59.837435439371546,110.56917418144742,0.0,0.0,0.0048,0.0,0.0,1.0,charis9,5,20.0,25.0,PASS,All criteria met
78.57840789474228,11.453776281949652,34.71314577662921,112.96019385842438,0.0,0.0,0.005933333333333333,0.0,0.0,0.9999333333333333,charis9,6,25.0,30.0,PASS,All criteria met
79.85294114003324,11.670459669518728,61.36124590708225,112.08059594616861,0.0,0.0,0.0062,0.0,0.0,1.0,charis9,7,30.0,35.0,PASS,All criteria met
81.40861782957356,11.93935822346442,63.318660979426085,114.65744616798834,0.0,0.0,0.007533333333333334,0.0,0.0,1.0,charis9,8,35.0,40.0,PASS,All criteria met
82.21771576268365,12.220545306559236,60.94003000543864,116.8378578941435,0.0,0.0,0.0074,0.0,0.0,1.0,charis9,9,40.0,45.0,PASS,All criteria met
82.00269165220286,12.168187960962086,59.99848857823528,123.35431566662992,0.0,0.0,0.008533333333333334,0.0,0.0,1.0,charis9,10,45.0,50.0,PASS,All criteria met
101.46110423240272,24.36314161939029,40.265407197347926,172.13274353956146,0.0,0.0,0.0018,0.0,0.0,1.0,charis10,1,0.0,5.0,PASS,All criteria met
92.5254598194672,54.555146510649436,-409.16942924471783,408.5203898230619,0.0,0.010333333333333333,0.004666666666666667,0.009533333333333333,0.0006000400026668444,0.8820666666666667,charis10,2,5.0,10.0,PASS,All criteria met
